pathogen_id,taxon_label,lilacs_plus_collection,verification_date,method
1,Cryptococcus neoformans,2480,2026-07-28,browser (claude-in-chrome)
2,Candida auris,169,2026-07-28,browser (claude-in-chrome)
3,Aspergillus fumigatus,880,2026-07-28,browser (claude-in-chrome)
4,Candida albicans,4540,2026-07-27,browser (claude-in-chrome)
5,Nakaseomyces glabrata (Candida glabrata),403,2026-07-27,browser (claude-in-chrome)
6,Histoplasma spp.,2094,2026-07-28,browser (claude-in-chrome)
7,Eumycetoma causative agents,393,2026-07-27,browser (claude-in-chrome)
8,Mucorales,1331,2026-07-28,browser (claude-in-chrome)
9,Fusarium spp.,1925,2026-07-27,browser (claude-in-chrome)
10,Candida tropicalis,1503,2026-07-28,browser (claude-in-chrome)
11,Candida parapsilosis,1240,2026-07-28,browser (claude-in-chrome)
12,Scedosporium spp.,138,2026-07-28,browser (claude-in-chrome)
13,Lomentospora prolificans,58,2026-07-27,browser (claude-in-chrome)
14,Coccidioides spp.,505,2026-07-28,browser (claude-in-chrome)
15,Pichia kudriavzevii (Candida krusei),903,2026-07-28,browser (claude-in-chrome)
16,Cryptococcus gattii,1691,2026-07-28,browser (claude-in-chrome)
17,Talaromyces marneffei,5,2026-07-28,browser (claude-in-chrome)
18,Pneumocystis jirovecii,723,2026-07-27,browser (claude-in-chrome)
19,Paracoccidioides spp.,3863,2026-07-28,browser (claude-in-chrome)
