pathogen_id,taxon_label,pubmed_site_value,openalex_site_value,zenodo_site_value,method,verification_date,note
1,Cryptococcus neoformans,5136,9980,122,"identical query to the API, via the browser's public interface",2026-07-29,
2,Candida auris,2581,4728,161,"identical query to the API, via the browser's public interface",2026-07-29,"Zenodo: real divergence not explained by obvious caching -- direct API call (via terminal) returns 68 for the same exact query captured from the browser network (161). Not a sort=bestmatch error (tested, no effect). Logged as a finding, unresolved."
3,Aspergillus fumigatus,8295,19070,274,"identical query to the API, via the browser's public interface",2026-07-29,
4,Candida albicans,28182,76050,1219,"identical query to the API, via the browser's public interface",2026-07-29,
5,Nakaseomyces glabrata (Candida glabrata),4818,10310,102,"identical query to the API, via the browser's public interface",2026-07-29,
6,Histoplasma spp.,1325,2736,35,"identical query to the API, via the browser's public interface",2026-07-29,
7,Eumycetoma causative agents,723,2274,77,"identical query to the API, via the browser's public interface",2026-07-29,
8,Mucorales,8774,28260,793,"identical query to the API, via the browser's public interface",2026-07-29,
9,Fusarium spp.,19264,76340,1887,"identical query to the API, via the browser's public interface",2026-07-29,
10,Candida tropicalis,3905,10180,148,"identical query to the API, via the browser's public interface",2026-07-29,
11,Candida parapsilosis,3818,8225,75,"identical query to the API, via the browser's public interface",2026-07-29,
12,Scedosporium spp.,990,1730,15,"identical query to the API, via the browser's public interface",2026-07-29,
13,Lomentospora prolificans,265,387,1,"identical query to the API, via the browser's public interface",2026-07-29,
14,Coccidioides spp.,976,1905,19,"identical query to the API, via the browser's public interface",2026-07-29,
15,Pichia kudriavzevii (Candida krusei),2540,6619,72,"identical query to the API, via the browser's public interface",2026-07-29,
16,Cryptococcus gattii,1121,2123,14,"identical query to the API, via the browser's public interface",2026-07-29,
17,Talaromyces marneffei,595,922,4,"identical query to the API, via the browser's public interface",2026-07-29,
18,Pneumocystis jirovecii,2814,5755,49,"identical query to the API, via the browser's public interface",2026-07-29,
19,Paracoccidioides spp.,1028,2360,50,"identical query to the API, via the browser's public interface",2026-07-29,
