pathogen_id,taxon_label,scielo_native,openalex_automated_proxy,underestimation_factor,verification_date,note
1,Cryptococcus neoformans,335,6,55.8x,2026-07-28,
2,Candida auris,16,2,8.0x,2026-07-28,
3,Aspergillus fumigatus,171,5,34.2x,2026-07-28,
4,Candida albicans,927,48,19.3x,2026-07-27,
5,Nakaseomyces glabrata (Candida glabrata),97,9,10.8x,2026-07-27,
6,Histoplasma spp.,187,7,26.7x,2026-07-28,
7,Eumycetoma causative agents,20,2,10.0x,2026-07-27,
8,Mucorales,521,11,47.4x,2026-07-28,
9,Fusarium spp.,1948,13,"not comparable without botanical filter",2026-07-27,"native query WITHOUT agricultural exclusion filter -- see lessons learned, item 9; not apples-to-apples"
10,Candida tropicalis,268,19,14.1x,2026-07-28,
11,Candida parapsilosis,247,11,22.5x,2026-07-28,
12,Scedosporium spp.,33,4,8.3x,2026-07-28,
13,Lomentospora prolificans,4,0,"zero was an artifact",2026-07-27,
14,Coccidioides spp.,52,5,10.4x,2026-07-28,
15,Pichia kudriavzevii (Candida krusei),166,7,23.7x,2026-07-28,
16,Cryptococcus gattii,84,0,"zero was an artifact",2026-07-28,
17,Talaromyces marneffei,1,0,"zero was an artifact",2026-07-28,
18,Pneumocystis jirovecii,136,3,45.3x,2026-07-27,
19,Paracoccidioides spp.,371,0,"zero was an artifact",2026-07-28,
